glyph_name,ps_name,sort_final,USV,bcp47tags,Feat
ring,ring,236,02DA,,
ogonek,ogonek,237,02DB,,
tilde,tilde,238,02DC,,
hungarumlaut,hungarumlaut,239,02DD,,
gravecomb,gravecomb,240,0300,,
acutecomb,acutecomb,241,0301,,
circumflexcomb,uni0302,242,0302,,
tildecomb,tildecomb,243,0303,,
dotabovecomb,uni0307,244,0307,,
dieresiscomb,uni0308,245,0308,,
ringcomb,uni030A,246,030A,,
caroncomb,uni030C,247,030C,,
dotbelowcomb,dotbelowcomb,248,0323,"iru,ctt","cv01=0,1,2,3"
cedillacomb,uni0327,249,0327,,
circumflexbelowcomb,uni032D,250,032D,,
almostequaltocomb,uni034C,251,034C,,
cgj,uni034F,252,034F,,
Omegagreek,uni03A9,253,03A9,,
pi,pi,254,03C0,,
udatta,uni0951,255,0951,,
anudatta,uni0952,256,0952,,
gravedeva,uni0953,257,0953,,
acutedeva,uni0954,258,0954,,
danda,uni0964,259,0964,,
dandadbl,uni0965,260,0965,,
anusvara,uni0B82,261,0B82,,
visarga,uni0B83,262,0B83,,
visarga.alt,uni0B83.alt,263,,,
avowel,uni0B85,264,0B85,,
aavowel,uni0B86,265,0B86,,
ivowel,uni0B87,266,0B87,,
iivowel,uni0B88,267,0B88,,
uvowel,uni0B89,268,0B89,,
uuvowel,uni0B8A,269,0B8A,,
evowel,uni0B8E,270,0B8E,,
eevowel,uni0B8F,271,0B8F,,
aivowel,uni0B90,272,0B90,,
ovowel,uni0B92,273,0B92,,
oovowel,uni0B93,274,0B93,,
auvowel,uni0B94,275,0B94,,
ka,uni0B95,276,0B95,,
ka_ssa,uni0B950BB7,277,0B95_0BB7,,
ka_ssa_imatra,uni0B950BB70BBF,278,0B95_0BB7_0BBF,,
ka_ssa_iimatra,uni0B950BB70BC0,279,0B95_0BB7_0BC0,,
ka_ssa_virama,uni0B950BB70BCD,280,0B95_0BB7_0BCD,,
ka_imatra,uni0B950BBF,281,0B95_0BBF,,
ka_iimatra,uni0B950BC0,282,0B95_0BC0,,
ka_umatra,uni0B950BC1,283,0B95_0BC1,,
ka_uumatra,uni0B950BC2,284,0B95_0BC2,,
ka_uumatra.old,uni0B950BC2.old,285,,,
ka_virama,uni0B950BCD,286,0B95_0BCD,,
nga,uni0B99,287,0B99,,
nga_imatra,uni0B990BBF,288,0B99_0BBF,,
nga_iimatra,uni0B990BC0,289,0B99_0BC0,,
nga_umatra,uni0B990BC1,290,0B99_0BC1,,
nga_uumatra,uni0B990BC2,291,0B99_0BC2,,
nga_virama,uni0B990BCD,292,0B99_0BCD,,
nga_virama.alt,uni0B990BCD.alt,293,,,
ca,uni0B9A,294,0B9A,,
ca_imatra,uni0B9A0BBF,295,0B9A_0BBF,,
ca_iimatra,uni0B9A0BC0,296,0B9A_0BC0,,
ca_umatra,uni0B9A0BC1,297,0B9A_0BC1,,
ca_uumatra,uni0B9A0BC2,298,0B9A_0BC2,,
ca_virama,uni0B9A0BCD,299,0B9A_0BCD,,
ja,uni0B9C,300,0B9C,,
ja_imatra,uni0B9C0BBF,301,0B9C_0BBF,,
ja_iimatra,uni0B9C0BC0,302,0B9C_0BC0,,
ja_virama,uni0B9C0BCD,303,0B9C_0BCD,,
nya,uni0B9E,304,0B9E,,
nya_imatra,uni0B9E0BBF,305,0B9E_0BBF,,
nya_iimatra,uni0B9E0BC0,306,0B9E_0BC0,,
nya_umatra,uni0B9E0BC1,307,0B9E_0BC1,,
nya_uumatra,uni0B9E0BC2,308,0B9E_0BC2,,
nya_virama,uni0B9E0BCD,309,0B9E_0BCD,,
tta,uni0B9F,310,0B9F,,
tta_imatra,uni0B9F0BBF,311,0B9F_0BBF,,
tta_iimatra,uni0B9F0BC0,312,0B9F_0BC0,,
tta_umatra,uni0B9F0BC1,313,0B9F_0BC1,,
tta_uumatra,uni0B9F0BC2,314,0B9F_0BC2,,
tta_virama,uni0B9F0BCD,315,0B9F_0BCD,,
nna,uni0BA3,316,0BA3,,
nna_aamatra,uni0BA30BBE,317,0BA3_0BBE,,
nna_aamatra.old,uni0BA30BBE.old,318,,,
nna_imatra,uni0BA30BBF,319,0BA3_0BBF,,
nna_iimatra,uni0BA30BC0,320,0BA3_0BC0,,
nna_umatra,uni0BA30BC1,321,0BA3_0BC1,,
nna_uumatra,uni0BA30BC2,322,0BA3_0BC2,,
nna_aimatra,uni0BA30BC8,323,0BA3_0BC8,,
nna_aimatra.old,uni0BA30BC8.old,324,,,
nna_virama,uni0BA30BCD,325,0BA3_0BCD,,
ta,uni0BA4,326,0BA4,,
ta_imatra,uni0BA40BBF,327,0BA4_0BBF,,
ta_iimatra,uni0BA40BC0,328,0BA4_0BC0,,
ta_umatra,uni0BA40BC1,329,0BA4_0BC1,,
ta_uumatra,uni0BA40BC2,330,0BA4_0BC2,,
ta_virama,uni0BA40BCD,331,0BA4_0BCD,,
na,uni0BA8,332,0BA8,,
na_imatra,uni0BA80BBF,333,0BA8_0BBF,,
na_iimatra,uni0BA80BC0,334,0BA8_0BC0,,
na_umatra,uni0BA80BC1,335,0BA8_0BC1,,
na_uumatra,uni0BA80BC2,336,0BA8_0BC2,,
na_virama,uni0BA80BCD,337,0BA8_0BCD,,
nnna,uni0BA9,338,0BA9,,
nnna_aamatra,uni0BA90BBE,339,0BA9_0BBE,,
nnna_aamatra.old,uni0BA90BBE.old,340,,,
nnna_imatra,uni0BA90BBF,341,0BA9_0BBF,,
nnna_iimatra,uni0BA90BC0,342,0BA9_0BC0,,
nnna_umatra,uni0BA90BC1,343,0BA9_0BC1,,
nnna_uumatra,uni0BA90BC2,344,0BA9_0BC2,,
nnna_aimatra,uni0BA90BC8,345,0BA9_0BC8,,
nnna_aimatra.old,uni0BA90BC8.old,346,,,
nnna_virama,uni0BA90BCD,347,0BA9_0BCD,,
pa,uni0BAA,348,0BAA,,
pa_imatra,uni0BAA0BBF,349,0BAA_0BBF,,
pa_iimatra,uni0BAA0BC0,350,0BAA_0BC0,,
pa_umatra,uni0BAA0BC1,351,0BAA_0BC1,,
pa_uumatra,uni0BAA0BC2,352,0BAA_0BC2,,
pa_virama,uni0BAA0BCD,353,0BAA_0BCD,,
ma,uni0BAE,354,0BAE,,
ma_imatra,uni0BAE0BBF,355,0BAE_0BBF,,
ma_iimatra,uni0BAE0BC0,356,0BAE_0BC0,,
ma_umatra,uni0BAE0BC1,357,0BAE_0BC1,,
ma_uumatra,uni0BAE0BC2,358,0BAE_0BC2,,
ma_virama,uni0BAE0BCD,359,0BAE_0BCD,,
ya,uni0BAF,360,0BAF,,
ya_imatra,uni0BAF0BBF,361,0BAF_0BBF,,
ya_iimatra,uni0BAF0BC0,362,0BAF_0BC0,,
ya_umatra,uni0BAF0BC1,363,0BAF_0BC1,,
ya_uumatra,uni0BAF0BC2,364,0BAF_0BC2,,
ya_virama,uni0BAF0BCD,365,0BAF_0BCD,,
ra,uni0BB0,366,0BB0,,
ra_imatra,uni0BB00BBF,367,0BB0_0BBF,,
ra_iimatra,uni0BB00BC0,368,0BB0_0BC0,,
ra_umatra,uni0BB00BC1,369,0BB0_0BC1,,
ra_uumatra,uni0BB00BC2,370,0BB0_0BC2,,
ra_virama,uni0BB00BCD,371,0BB0_0BCD,,
rra,uni0BB1,372,0BB1,,
rra_aamatra,uni0BB10BBE,373,0BB1_0BBE,,
rra_aamatra.old,uni0BB10BBE.old,374,,,
rra_imatra,uni0BB10BBF,375,0BB1_0BBF,,
rra_iimatra,uni0BB10BC0,376,0BB1_0BC0,,
rra_umatra,uni0BB10BC1,377,0BB1_0BC1,,
rra_uumatra,uni0BB10BC2,378,0BB1_0BC2,,
rra_virama,uni0BB10BCD,379,0BB1_0BCD,,
la,uni0BB2,380,0BB2,,
la.old,uni0BB2.old,381,,,
la_imatra,uni0BB20BBF,382,0BB2_0BBF,,
la_iimatra,uni0BB20BC0,383,0BB2_0BC0,,
la_umatra,uni0BB20BC1,384,0BB2_0BC1,,
la_uumatra,uni0BB20BC2,385,0BB2_0BC2,,
la_aimatra,uni0BB20BC8,386,0BB2_0BC8,,
la_aimatra.old,uni0BB20BC8.old,387,,,
la_virama,uni0BB20BCD,388,0BB2_0BCD,,
lla,uni0BB3,389,0BB3,,
lla_imatra,uni0BB30BBF,390,0BB3_0BBF,,
lla_iimatra,uni0BB30BC0,391,0BB3_0BC0,,
lla_umatra,uni0BB30BC1,392,0BB3_0BC1,,
lla_uumatra,uni0BB30BC2,393,0BB3_0BC2,,
lla_aimatra,uni0BB30BC8,394,0BB3_0BC8,,
lla_aimatra.old,uni0BB30BC8.old,395,,,
lla_virama,uni0BB30BCD,396,0BB3_0BCD,,
llla,uni0BB4,397,0BB4,,
llla_imatra,uni0BB40BBF,398,0BB4_0BBF,,
llla_iimatra,uni0BB40BC0,399,0BB4_0BC0,,
llla_umatra,uni0BB40BC1,400,0BB4_0BC1,,
llla_uumatra,uni0BB40BC2,401,0BB4_0BC2,,
llla_virama,uni0BB40BCD,402,0BB4_0BCD,,
va,uni0BB5,403,0BB5,,
va_imatra,uni0BB50BBF,404,0BB5_0BBF,,
va_iimatra,uni0BB50BC0,405,0BB5_0BC0,,
va_umatra,uni0BB50BC1,406,0BB5_0BC1,,
va_uumatra,uni0BB50BC2,407,0BB5_0BC2,,
va_virama,uni0BB50BCD,408,0BB5_0BCD,,
sha,uni0BB6,409,0BB6,,
ssa,uni0BB7,410,0BB7,,
ssa_imatra,uni0BB70BBF,411,0BB7_0BBF,,
ssa_iimatra,uni0BB70BC0,412,0BB7_0BC0,,
ssa_aimatra,uni0BB70BC8,413,0BB7_0BC8,,
ssa_virama,uni0BB70BCD,414,0BB7_0BCD,,
sa,uni0BB8,415,0BB8,,
sa_imatra,uni0BB80BBF,416,0BB8_0BBF,,
sa_iimatra,uni0BB80BC0,417,0BB8_0BC0,,
sa_virama,uni0BB80BCD,418,0BB8_0BCD,,
sa_virama_ra_iimatra,uni0BB80BCD0BB00BC0,419,0BB8_0BCD_0BB0_0BC0,,
ha,uni0BB9,420,0BB9,,
ha_imatra,uni0BB90BBF,421,0BB9_0BBF,,
ha_iimatra,uni0BB90BC0,422,0BB9_0BC0,,
ha_virama,uni0BB90BCD,423,0BB9_0BCD,,
aamatra,uni0BBE,424,0BBE,,
imatra,uni0BBF,425,0BBF,,
iimatra,uni0BC0,426,0BC0,,
umatra,uni0BC1,427,0BC1,,
uumatra,uni0BC2,428,0BC2,,
ematra,uni0BC6,429,0BC6,,
eematra,uni0BC7,430,0BC7,,
aimatra,uni0BC8,431,0BC8,,
omatra,uni0BCA,432,0BCA,,
oomatra,uni0BCB,433,0BCB,,
aumatra,uni0BCC,434,0BCC,,
virama,uni0BCD,435,0BCD,,
om,uni0BD0,436,0BD0,,
aulengthmark,uni0BD7,437,0BD7,,
zerotaml,uni0BE6,438,0BE6,,
onetaml,uni0BE7,439,0BE7,,
twotaml,uni0BE8,440,0BE8,,
threetaml,uni0BE9,441,0BE9,,
fourtaml,uni0BEA,442,0BEA,,
fivetaml,uni0BEB,443,0BEB,,
sixtaml,uni0BEC,444,0BEC,,
seventaml,uni0BED,445,0BED,,
eighttaml,uni0BEE,446,0BEE,,
ninetaml,uni0BEF,447,0BEF,,
numberten,uni0BF0,448,0BF0,,
numberonehundred,uni0BF1,449,0BF1,,
numberonethousand,uni0BF2,450,0BF2,,
daysign,uni0BF3,451,0BF3,,
monthsign,uni0BF4,452,0BF4,,
yearsign,uni0BF5,453,0BF5,,
debitsign,uni0BF6,454,0BF6,,
creditsign,uni0BF7,455,0BF7,,
asabovesign,uni0BF8,456,0BF8,,
rupeesign,uni0BF9,457,0BF9,,
numbersigntaml,uni0BFA,458,0BFA,,
vedictonedoublesvarita,uni1CDA,459,1CDA,,
vedictonekathakaanudatta,uni1CDC,460,1CDC,,
vedictonedotbelow,uni1CDD,461,1CDD,,
vedictonetwodotsbelow,uni1CDE,462,1CDE,,
vedictonethreedotsbelow,uni1CDF,463,1CDF,,
vedicsignjihvamuliya,uni1CF5,464,1CF5,,
vedicsignjihvamuliya.alt,uni1CF5.alt,465,,,
enquad,uni2000,466,2000,,
emquad,uni2001,467,2001,,
enspace,uni2002,468,2002,,
emspace,uni2003,469,2003,,
threeperemspace,uni2004,470,2004,,
fourperemspace,uni2005,471,2005,,
sixperemspace,uni2006,472,2006,,
figurespace,uni2007,473,2007,,
punctuationspace,uni2008,474,2008,,
thinspace,uni2009,475,2009,,
hairspace,uni200A,476,200A,,
zwsp,uni200B,477,200B,,
zwnj,uni200C,478,200C,,
zwj,uni200D,479,200D,,
hyphentwo,uni2010,480,2010,,
hyphentwo.latn,uni2010.latn,481,,,
nbhyphen,uni2011,482,2011,,
nbhyphen.latn,uni2011.latn,483,,,
figuredash,figuredash,484,2012,,
figuredash.latn,figuredash.latn,485,,,
endash,endash,486,2013,,
endash.latn,endash.latn,487,,,
emdash,emdash,488,2014,,
emdash.latn,emdash.latn,489,,,
horizontalbar,uni2015,490,2015,,
horizontalbar.latn,uni2015.latn,491,,,
quoteleft,quoteleft,492,2018,,
quoteleft.latn,quoteleft.latn,493,,,
quoteright,quoteright,494,2019,,
quoteright.latn,quoteright.latn,495,,,
quotesinglbase,quotesinglbase,496,201A,,
quotedblleft,quotedblleft,497,201C,,
quotedblleft.latn,quotedblleft.latn,498,,,
quotedblright,quotedblright,499,201D,,
quotedblright.latn,quotedblright.latn,500,,,
quotedblbase,quotedblbase,501,201E,,
dagger,dagger,502,2020,,
daggerdbl,daggerdbl,503,2021,,
bullet,bullet,504,2022,,
ellipsis,ellipsis,505,2026,,
hyphenationpoint,uni2027,506,2027,,
lineseparator,uni2028,507,2028,,
paragraphseparator,uni2029,508,2029,,
nnbspace,uni202F,509,202F,,
perthousand,perthousand,510,2030,,
guilsinglleft,guilsinglleft,511,2039,,
guilsinglright,guilsinglright,512,203A,,
fraction,fraction,513,2044,,
wj,uni2060,514,2060,,
zerosuperior,uni2070,515,2070,,
foursuperior,uni2074,516,2074,,
fivesuperior,uni2075,517,2075,,
sixsuperior,uni2076,518,2076,,
sevensuperior,uni2077,519,2077,,
eightsuperior,uni2078,520,2078,,
ninesuperior,uni2079,521,2079,,
hyphensuperior,uni207B,522,207B,,
parenleftsuperior,uni207D,523,207D,,
parenrightsuperior,uni207E,524,207E,,
rupee,uni20A8,525,20A8,,
Euro,Euro,526,20AC,,
inrupee,uni20B9,527,20B9,,
trademark,trademark,528,2122,,
Ohm,Omega,529,2126,,
partialdiff,partialdiff,530,2202,,
Delta,Delta,531,2206,,
product,product,532,220F,,
summation,summation,533,2211,,
minus,minus,534,2212,,
minus.latn,minus.latn,535,,,
divisionslash,uni2215,536,2215,,
bulletoperator,uni2219,537,2219,,
radical,radical,538,221A,,
infinity,infinity,539,221E,,
integral,integral,540,222B,,
approxequal,approxequal,541,2248,,
notequal,notequal,542,2260,,
lessequal,lessequal,543,2264,,
greaterequal,greaterequal,544,2265,,
ceilingleft,uni2308,545,2308,,
ceilingright,uni2309,546,2309,,
floorleft,uni230A,547,230A,,
floorright,uni230B,548,230B,,
cornerlefttop,uni231C,549,231C,,
cornerrighttop,uni231D,550,231D,,
cornerleftbottom,uni231E,551,231E,,
cornerrightbottom,uni231F,552,231F,,
openbox,uni2423,553,2423,,
lozenge,lozenge,554,25CA,,
dottedcircle,uni25CC,555,25CC,,
halfbracketlefttop,uni2E22,556,2E22,,
halfbracketrighttop,uni2E23,557,2E23,,
halfbracketleftbottom,uni2E24,558,2E24,,
halfbracketrightbottom,uni2E25,559,2E25,,
sidebearingleft,uniF130,560,F130,,
sidebearingright,uniF131,561,F131,,
fi,uniFB01,562,FB01,,
fl,uniFB02,563,FB02,,
VS1,uniFE00,564,FE00,,
VS2,uniFE01,565,FE01,,
VS3,uniFE02,566,FE02,,
VS4,uniFE03,567,FE03,,
VS5,uniFE04,568,FE04,,
VS6,uniFE05,569,FE05,,
VS7,uniFE06,570,FE06,,
VS8,uniFE07,571,FE07,,
VS9,uniFE08,572,FE08,,
VS10,uniFE09,573,FE09,,
VS11,uniFE0A,574,FE0A,,
VS12,uniFE0B,575,FE0B,,
VS13,uniFE0C,576,FE0C,,
VS14,uniFE0D,577,FE0D,,
VS15,uniFE0E,578,FE0E,,
VS16,uniFE0F,579,FE0F,,
zwnbsp,uniFEFF,580,FEFF,,
objectReplacementCharacter,uniFFFC,581,FFFC,,
replacementCharacter,uniFFFD,582,FFFD,,
bindu,u1133B,583,1133B,"iru,ctt","cv01=0,1,2,3"
nukta,u1133C,584,1133C,"iru,ctt","cv01=0,1,2,3"
nukta.dot,u1133C.dot,585,,,
nukta.dotdbl,u1133C.dotdbl,586,,,
nukta.ringdbl,u1133C.ringdbl,587,,,
CombAcute.LP,CombAcute.LP,588,,,
CombCaron.LP,CombCaron.LP,589,,,
CombCircum.LP,CombCircum.LP,590,,,
CombDiaer.LP,CombDiaer.LP,591,,,
CombGrave.LP,CombGrave.LP,592,,,
CombTilde.LP,CombTilde.LP,593,,,
GrCapPi,GrCapPi,594,,,
LtnCapEsh,LtnCapEsh,595,,,
ModBeginHighTn,ModBeginHighTn,596,,,
ModBeginLowTn,ModBeginLowTn,597,,,
ModEndHighTn,ModEndHighTn,598,,,
ModEndLowTn,ModEndLowTn,599,,,
tildeoverlaycomb.Lrg,tildeoverlaycomb.Lrg,600,,,
