glyph_name,ps_name,sort_final,USV
rupeesign,uni0BF9,453,0BF9
numbersigntaml,uni0BFA,454,0BFA
avagraha,uni16C7,455,16C7
vedictonedoublesvarita,uni1CDA,456,1CDA
vedictonekathakaanudatta,uni1CDC,457,1CDC
vedictonedotbelow,uni1CDD,458,1CDD
vedictonetwodotsbelow,uni1CDE,459,1CDE
vedictonethreedotsbelow,uni1CDF,460,1CDF
vedicsignjihvamuliya,uni1CF5,461,1CF5
vedicsignjihvamuliya.alt,uni1CF5.alt,462,
EnQuad,uni2000,463,2000
EmQuad,uni2001,464,2001
EnSpace,uni2002,465,2002
EmSpace,uni2003,466,2003
ThreePerEmSpace,uni2004,467,2004
FourPerEmSpace,uni2005,468,2005
SixPerEmSpace,uni2006,469,2006
FigureSpace,uni2007,470,2007
PuncSpace,uni2008,471,2008
ThinSpace,uni2009,472,2009
HairSpace,uni200A,473,200A
zwsp,uni200B,474,200B
zwnj,uni200C,475,200C
zwj,uni200D,476,200D
hyphentwo,uni2010,477,2010
nbhyphen,uni2011,478,2011
figuredash,figuredash,479,2012
endash,endash,480,2013
emdash,emdash,481,2014
horizontalbar,uni2015,482,2015
quoteleft,quoteleft,483,2018
quoteleft.taml,quoteleft.taml,484,
quoteright,quoteright,485,2019
quoteright.taml,quoteright.taml,486,
quotesinglbase,quotesinglbase,487,201A
quotedblleft,quotedblleft,488,201C
quotedblleft.taml,quotedblleft.taml,489,
quotedblright,quotedblright,490,201D
quotedblright.taml,quotedblright.taml,491,
quotedblbase,quotedblbase,492,201E
dagger,dagger,493,2020
daggerdbl,daggerdbl,494,2021
bullet,bullet,495,2022
ellipsis,ellipsis,496,2026
HyphenationPt,uni2027,497,2027
LineSep,uni2028,498,2028
ParagraphSeparator,uni2029,499,2029
nnbsp,uni202F,500,202F
perthousand,perthousand,501,2030
guilsinglleft,guilsinglleft,502,2039
guilsinglright,guilsinglright,503,203A
fraction,fraction,504,2044
wj,uni2060,505,2060
zerosuperior,uni2070,506,2070
foursuperior,uni2074,507,2074
fivesuperior,uni2075,508,2075
sixsuperior,uni2076,509,2076
sevensuperior,uni2077,510,2077
eightsuperior,uni2078,511,2078
ninesuperior,uni2079,512,2079
hyphensuperior,uni207B,513,207B
parenleftsuperior,uni207D,514,207D
parenrightsuperior,uni207E,515,207E
rs,uni20A8,516,20A8
Euro,Euro,517,20AC
inr,uni20B9,518,20B9
trademark,trademark,519,2122
Ohm,uni2126,520,2126
partialdiff,partialdiff,521,2202
Delta,Delta,522,2206
product,product,523,220F
summation,summation,524,2211
minus,minus,525,2212
divisionslash,uni2215,526,2215
bulletoperator,uni2219,527,2219
radical,radical,528,221A
infinity,infinity,529,221E
integral,integral,530,222B
approxequal,approxequal,531,2248
notequal,notequal,532,2260
lessequal,lessequal,533,2264
greaterequal,greaterequal,534,2265
ceilingleft,uni2308,535,2308
ceilingright,uni2309,536,2309
floorleft,uni230A,537,230A
floorright,uni230B,538,230B
cornerlefttop,uni231C,539,231C
cornerrighttop,uni231D,540,231D
cornerleftbottom,uni231E,541,231E
cornerrightbottom,uni231F,542,231F
openbox,uni2423,543,2423
lozenge,lozenge,544,25CA
dottedcircle,uni25CC,545,25CC
halfbracketlefttop,uni2E22,546,2E22
halfbracketrighttop,uni2E23,547,2E23
halfbracketleftbottom,uni2E24,548,2E24
halfbracketrightbottom,uni2E25,549,2E25
saltillo,uniA78C,550,A78C
sidebearingleft,uniF130,551,F130
sidebearingright,uniF131,552,F131
fi,uniFB01,553,FB01
fl,uniFB02,554,FB02
VS1,uniFE00,555,FE00
VS2,uniFE01,556,FE01
VS3,uniFE02,557,FE02
VS4,uniFE03,558,FE03
VS5,uniFE04,559,FE04
VS6,uniFE05,560,FE05
VS7,uniFE06,561,FE06
VS8,uniFE07,562,FE07
VS9,uniFE08,563,FE08
VS10,uniFE09,564,FE09
VS11,uniFE0A,565,FE0A
VS12,uniFE0B,566,FE0B
VS13,uniFE0C,567,FE0C
VS14,uniFE0D,568,FE0D
VS15,uniFE0E,569,FE0E
VS16,uniFE0F,570,FE0F
zwnbsp,uniFEFF,571,FEFF
ObjectReplChar,uniFFFC,572,FFFC
ReplChar,uniFFFD,573,FFFD
nuktanew,u1133B,574,1133B
nukta,u1133C,575,1133C
nukta.dotdbl,u1133C.dotdbl,576,
nukta.ringdbl,u1133C.ringdbl,577,
CombAcute,CombAcute,578,
CombAcute.LP,CombAcute.LP,579,
CombCedilla,CombCedilla,580,
CombCircum,CombCircum,581,
CombCircum.LP,CombCircum.LP,582,
CombDiaer,CombDiaer,583,
CombDiaer.LP,CombDiaer.LP,584,
CombGrave,CombGrave,585,
CombGrave.LP,CombGrave.LP,586,
CombRingAbv,CombRingAbv,587,
CombTilde,CombTilde,588,
CombTilde.LP,CombTilde.LP,589,
GrCapPi,GrCapPi,590,
LtnCapEsh,LtnCapEsh,591,
ModBeginHighTn,ModBeginHighTn,592,
ModBeginLowTn,ModBeginLowTn,593,
ModEndHighTn,ModEndHighTn,594,
ModEndLowTn,ModEndLowTn,595,
